gold_summary,model_summary,session_key
I have puppies. I am allergic to cats. I am also allergic to cats. I would love to get a hairless cat. I may be moving soon. I live in an apartment. My new place will be bigger than the one I live in now. I need new furniture. I am going to give my dogs their own room. I prefer quality furniture to budget furniture. I would like someone to help me put some furniture together. I am planning to go over to someone's house to help them assemble their new furniture. I do not like IKEA furniture. I have been busy. The last book I read was Animal Farm. I have never read Animal Farm. I am often busy with work.,"Probably, they are friendly little puppies. The only reason I don't have cats is because I'm allergic. Why don't you have animals? I am also allergic. It is such a pain because I really want cats, but I could get a hairless cat? Sphinx cat, I think they are called? They are not the fluffiest or cuddliest by any means haha but you would get your cat! My new place would have room for cats, how about your apartment? Cats dont tend to need too much space, so I think my apartment is fine. How much bigger is your new place? There is more space for some big furniture, the dog room of course, and maybe a gym. I still haven't decided. Do you know of any good places for new furniture? I have heard that IKEA is good for furniture, but I think there is something less sturdy about flat pack furniture as opposed to professionally made furniture. IKEA is great, definitely cheaper stuff but with good quality. Maybe you can come over to help me assemble some stuff and meet my dogs! Yes, although I have my reservations about the furniture itself, I am more than capable and willing to help you build them. Also, with the added perk of meeting your dogs, how could I possibly say no? Haha awesome! I'll definitely take your advice on the furniture. By the way, have you read any good books recently? I haven't had a lot of free time recently to sit down and enjoy a book. But, the one I read most recently, which was amazing and I totally recommend, was Animal Farm by George Orwell. George Orwell is great! Haven't read that one though, I'll have to check it out. I haven't had much relaxing time either, I've been working a lot lately. ",test_100_3
I just moved into a new house. I have a family. I have pets. I like the colors Navy Blue and Deep Lime Green.,"it's going great! I am glad to finally be settling in but we really need furniture. any suggestions on where to shop? I hope we are here for a long time. I want my family to have stability, you know? I did not think you had children? I guess you mean your dogs? I though you wanted yo move into a bigger house soon? I was going to say wait and get furniture when you move into the bogger house you was talking about. I don't have children, but I think of my pets as my family. their lives are shorter than human lives, and I don't wanna keep destabilizing them. I do ultimately wanna live somewhere bigger, but not for a long time yet. I know what you mean about pets being like children. Where are you thinking of getting furniture from? What all do you have to get? I think I will try shopping online so I can jsut have everything delivered and not deal with sales people! maybe amazon? or world market? I need to get two couches and some arm chairs for the formal living room I would try amazon. But sometimes the quality of the furniture is not so goo. But you could always get something cheap for now and then eventually get something better.   I want either navy blue or like, a deep lime green. something really vibrant. what's your favorite color?",test_100_4
"I'm a professional snowboarder. I have two dogs and a cat. I'm a vegan. I'm a student at community college. I love steak. I volunteer at a local garden. I love the singer, Charlie Parker. I'm studying to be a nurse. I want to buy a new car. I drive an SUV. I once worked for Cisco.","I'm a vegan. Two dogs and a cat. Student at community college. Interesting. Unfortunately, I love food, especially steak! It works for me. I volunteer at a local garden in my community, so lots of veggies. So good for you. Do you have any fav. Singers. I love charlie parker. Not much time for music. Studying hard to be a nurse. I drive a little suv so I have room for my dogs and cat. I just need room for my snowboard.. That sounds fun! Hopefully I have more time for that stuff when I done with community college. You'll make a great nurse. I used to work at cisco. Ever heard of it?",test_1000_1
I am studying to become a nurse. I am a professional snowboarder. I skateboard during the spring and summer. I do not have a car. I compete for snowboarding in the winter. My main job is giving snowboarding lessons at Killington Mountain in Vermont. I live in Vermont. I travel for snowboarding. I have been to Canada. I broke my wrist roller skating as a child. I have terrible balance. I have roller skated. I am in college. I worked in a coffee shop previously. I volunteer at the local garden.,"I'm finding it very challenging.  I like the work and it's rewarding when I finally understand it, but it's just a lot of stuff to know and think about. I bet it is. I feel the same way about snowboarding. It took me a lot of hard work, grinding, and dedication, but it's worth it now that I have a pro career. No, not until winter, but during the spring and summer, I skateboard, which is quite similar. Also, without a car, it helps me to get around. Do you do a lot of traveling for snowboarding competitions?  I bet there are competitions all over the world.  North America, Europe, Asia.  Do you get to see a lot of neat places? For my main job, I give snowboarding lessons at Killington Mountain here in Vermont. I do travel up and down the East Coast for snowboarding competitions, too. I've been snowboarding in Canada but never any other foreign countries like Switzerland for example. Have you ever tried skiing or snowboarding? I never have!  I think it looks very exciting but I have terrible balance.  I broke my wrist roller skating as a child! That sounds painful. I've had some bad rollerblading falls in my day. So, will you be getting out of college soon for the summer? Yes, finals are coming up soon.  I'm sweating those but it will be good to get them over with.  Then I need to start thinking about getting a summer job. I think I'll keep volunteering at the local garden but do something different for gainful employment.  Last summer I worked in a coffee shop.  This summer I'd like to do something less hectic.",test_1000_2
I own a skateboard. I do not own a car. My first car was a Ford Fiesta. I own an SUV. I have a sister. I do not know much about cars. I am looking for a good deal. I enjoy winter. I do not have summer plans. I have a girlfriend. I do not have summer plans yet. I am studying to be a nurse. Balance is important to me. I love to be outside. I enjoy my job. I enjoy snowboarding.,"I am really wanting to get a Toyota Corolla. I've heard they are great cars because they are inexpensive and reliable. Do you have any other suggestions? I've just looked up a Toyota Corolla to see what it looks like; they look quite slick and stylish. The design on the lights at the front is quite unique too. What color do you think you'll get? I don't have much advice I'm afraid, my first car was a very old Ford Fiesta. My sister knows more about cars and advised me with the SUV I currently have! I don't care about the color that much, I suppose I would like to have a red one, but I will stick with whichever one I can get the best deal on. Yea that's true, the most important thing is getting the best deal you can. Having a car gives you so much more freedom, and the abliity to have road trips! Do you have any holidays booked for summer? Not yet. I love winter sports, but obviously I can't do much of those in the Summer. My girlfriend really wants to be on a beach at some point this summer, so we might take a trip to the coast at some point. That would be nice to get to the coast. I'm hoping that I manage to get a break from studying... I didn't expect learning to be a nurse was going to be easy, but the training is a lot more intense than I was expecting! If I get to go away I'll probably head to the coast too, as I love relaxing on the beach.  You're right, otherwise I might burn out! I'm quite envious that you are able to relax a bit more in the summer before your snowboarding job in the winter, though I assume that in wintertime you are realyl busy and it must be physically exhausting snowboarding all the time? We do get pretty busy, and yes it's tiring, but it's great exercise. Snowboarding is my passion, so I love being outside and sharing that with other people. I would not trade my job for anything else. I'm so glad you've found a job you love so much (and are also so good at!",test_1000_3
I have been struggling with my studies. I enjoy the beach. I enjoy the beach and seafood. I have two more weeks of class before break. I am studying to be a nurse.,"My studies have been going well, its a bit of a challenge at times and very intensive, but I manage. I haven't decided on summer plans, maybe I I really enjoy going to the beach, so maybe I can ask my friends and family if they can join me in going to one. We can even have seafood afterwards, I normally don't get a chance to do so. That sounds fun, I love the beach too! There's nothing quite like fresh caught seafood straight from the surf... When does your summer break start? I still have about two weeks left until summer break, so I am in the middle of finishing my classes. I am really working hard on studying so I can take my finals, I don't want to do badly on them by neglecting to study. Its no problem, I still need to take a break now and then, I try to study the content every day so it sticks. Many nurses tend to cram a lot of content in a given time, some before exams which ends up being very exhausting and not very effective. I need to study bit by bit to really learn the content. I agree, cramming for tests is unhealthy and relatively ineffective because you don't have time to truly digest the information. on the other hand if you spread it out too much, you also risk forgetting some things.",test_1000_4
I'm thinking of going to the beach today. I have a dog. I just got back from a hike. I have five grandchildren and they love dogs. I listen to Journey and Styx. I love music. I like most outdoor activities. I like to spend time with animals. I also like being outside but mostly during the fall. I think fall is a wonderful time of year. I think the leaves are amazing in the fall. I like all types of food. I am picky on what coffee I drink. I love Mediterranean food. I mostly eat out at restaurants.,"Oh that sounds fun! I just got back from a hike with my dog, chip. Nice, my five grandchildren love dogs. I love music, I mostly listen to journey and styx. What about you? Spending time with animals and most outdoor activities, I love just being out in nature. Same, but I mostly like being outside in the fall. I love any type of food! I am only picky on what coffee I drink. You? I love mediterranean food it's delicious. I can't get enough.. I mostly eat out at restaurants. What about you?",test_1005_1
I have a dog. I have had a pet. I do not have a dog. I have grandkids. I like Coronado Beach. I like beaches along the gulf coast. I have never been to Coronado beach. I enjoy being outside. I enjoy fall. My favorite season is fall. I like to fish. I enjoy watching baseball games. I went camping recently. I like to hike. I don't know if I like camping. I like fishing. I like hiking. I like camping.,"I just got back from the vet, my dog needed his annual vaccine shots. Oh poor baby. I hope it didn't take to much out of him. I know they need their shots so they can stay healthy but I always feel bad afterwards.  Yes i feel bad afterwards too, but at least I know he will be healthy.  I never feel like I am doing enough for him though with all the new foods and toys out there. I'm sure you're a good dog parent. My grandkids would love it if I would adopt a dog but we are not ready for that yet. We are planning on going to the beach this afternoon as the weather is so nice. Coronado beach is one of my favorites. Have you ever been? No, Ive never been to Coronado beach.  I like the beaches along the gulf coast.  Do you enjoy frolicking in the ocean? I do but mostly I enjoy just being outside. I especially like the fall season when the trees and bushes start to change color. The weather is much nicer in the fall as well. Yes, the fall is my favorite season by far.  I love the mild temperatures and the changing colors in nature. I enjoy watching baseball games, fishing, and hiking.  I just recently went camping for the first time however I am not sure if its something I will do again in the future. Ha ... camping is one of the things that you either love or hate. I personally like camping and try to do it as much as possible. I also like to fish and hike. Do you have a favorite spot for hiking?",test_1005_2
I went camping a few weeks ago. I have grandchildren. I have a dog. I do not have a dog. I have a chocolate brown Labrador.,"Not recently but we are planning to go back to Coronado beach next month. I can't wait. It is one of my favorite places and the grandkids like it too. What about you? Have you been camping or hiking lately? Yes, I just went a couple weeks ago.  It was so relaxing.  I’ll have to look into going to Coronado beach sometime. What is your favorite thing to do when camping?. I mostly just like being outdoors. I love the scenery and the clean air.  Oh absolutely. That's one of their fun things to do when camping. Yes I agree, the changing leaves and cooler temperatures make fall the best time to camp and hike. Do you take your dog with you when you hike? Yeah he loves going on hikes. We used to have a dog and I know the grandkids would love it if we got another one but I'm not sure if I'm ready.  I would go to the rescue and see what they had. I would prefer a medium to small dog though. What kind of dog do you have? I have a chocolate lab who thinks he’s a small dog and always wants to lay on my lap.",test_1005_3
I have a tent. I have not been hiking in Colorado. I have a female dog. I have grandchildren. I have been to a coffee shop that is dog-friendly. I have a dog. I had Colombian coffee at the coffee shop. I like to experiment with tasting coffee. I have a French press. I drink two cups of coffee in the morning. I like a warm drink later in the day with caffeine to keep me awake.,"I've decided to go to Colorado on a hike. I'm going alone this time. yes, I'll probably take my tent and find a nice campground in the woods. have you ever been hiking in Colorado? I have not been hiking there but I've seen pictures and it looks gorgeous. I'd love to visit in the fall sometime, maybe next year. Where in Colorado will you be and will you take your Labrador with you? You really should try it. Pictures don't do it justice since they can't convey how consistently nice the weather usually is. even when it's hot, it's usually dry, so pretty comfortable and cool in the shade. I'll probably head north of Denver towards the Ft. Collins area. I haven't decided if i should bring my dog because i'm sure she'd like the forest, but not so sure she'd like the long car ride.   Well it sounds really great. Be safe and have an amazing time! I've been thinking by the way that I might finally get a dog, given how much my grandkids love them. Any dog breed you'd recommend? Labradors, obviously, haha, but any others? Thanks, I'll keep you posted on my plans. That's fantastic, i think you should! There's a lot to love about Labradors, but Retrievers are also great. If you can handle a higher maintenance breed, Jack Russell Terriers are full of life and personality. Hm, I think I'll take a lower maintenance breed these days probably. Ah, I've heard that Retrievers can be great companions too. I'll look into both breeds and keep you posted. Which reminds me -- I went to a coffee shop that was dog-friendly the other day. Very high-end coffee and cold brews, etc. I bet you'd love it.  Yes, I'll definitely be back once we have our new member of the family! I think I had some Colombian coffee while I was there -- It was strong but delicious. I was torn between that and a French roast. Do you have a favorite kind of coffee bean? That's exciting, do keep me posted if you decide on a breed! Honestly my tastes in coffee tend to change a lot. I like to experiment. Lately I've even been using my French press to steep loose leaf, Earl Grey tea, which is just lovely. Very interesting -- Yes, I had a big tea kick several years ago and thought Earl Grey could just about compete with my morning coffee. Almost, but not quite, so I'm back with my two cups in the morning. I have been experimenting with some herbal teas later in the day since I like to sip something warm but the caffeine will keep me awake. Do you also drink herbal teas?",test_1005_4
I sell cars. I am Latina. I have brown hair. I like caring for people. I love murder mystery novels. I love my mother. I am a family oriented person. I love the band Five Finger Death Punch. I love the band Five Finger Death Punch. I like to garden. I don't like gardening. I like flowers and butterflies. I like flowers and butterflies.,"I am well. I sell cars and you? Great, I am great. Browned haired latina, thats loves healing people. That is awesome I love murder mystery novels. Great. I adore family especially my mother she helps special needs patients at work.. Oh your mother sounds lovely,mine was a police officer. Really that is crazy I enjoy them too. Looks like we have something in common lol. I enjoy flowers and butterflies. Not so much gardening.",test_1006_1
"I have never seen Five Finger Death Punch live. I have never seen Five Finger Death Punch live. I would like to go to Europe. I trust Andy James. I would like to go to Europe. I can't afford a trip to Europe right now. I saw Muse live a long time ago. I won tickets on the radio. I saw Disturbed live a few years ago. My local radio only plays country music. I live in the midwest. My favorite radio stations is WSTB 88. 9 The AlterNation. I live near Columbus, Indiana,. I live near Columbus, Ohio.","Me neither, I wonder if they have the same energy as in their beginnings and the departure of Jason Hook.  I trust Andy James to carry the torch. I saw that they're headed to Europe this summer - seeing them live combined with a trip to Europe would be a dream come true. I'm sure that it's probably way to much for me right now, but maybe in a few years I'll be in a better place financially. What was the last band that you saw live? Mine was Disturbed a few years ago; I actually won tickets on the radio - it was so exciting! What was the station ? I wish there was station like that where I live. They only play country here. Where are you from? I'm in the midwest and we have a ton of altrock stations. My favorite is WSTB 88.9 The AlterNation. I live near Columbus, Indiana. But I will listen to WSTB on the net. Thanks a lot ! What a coincidence! I live near Columbus, Ohio!",test_1006_2
I am a fan of Five Finger Death Punch. I have seen Five Finger Death Punch perform live. I have a Five Finger Death Punch tee-shirt. I enjoy live music. I enjoy live music. I am a fan of David Bowie. I am a fan of Nirvana. I sell cars for a living. I own a Honda hatchback. I may need a new car soon. I consider Honda hatchbacks to be reliable cars.,"My mother and I rode into Columbus today. I saw a cool Five Finger Death Punch shirt. Not at the moment.  I need to look at the summer concert calendar and figure something out.  How about you?  Do you have anything on your radar? No, I haven't got anything booked yet. I should really start looking as I haven't been to a gig in ages. There's nothing quite like live music! I agree.  It's such an incredible experience to be in a big crowd with everyone enjoying the same music.  What was the first concert you ever went to?  I think mine was a Raffi concert at a fair. Yea, the crowd atmosphere is just amazing! Was Raffi good? The first concert I ever went to was when I was very young and it was something my parents liked, so I can't even remember what it was. One artist I always wish I had seen is David Bowie. Is there any music artist you wish you could have seen before they passed away? Oh, wow, that's a good question.  I suppose I would have liked to see Kurt Cobain play with Nirvana.  That would have been cool.  And yes, as a five-year-old I loved Raffy! Yea that's a great answer, I think a Nirvana concert would have been amazing. Kurt Cobain died really young didn't he... there are so many famous people who lose their lives early, it's such a shame. I'm glad you loved the concert as a little one! It's been alright actually, not loads but there's a steady stream. More people are wanting SUVs at the moment, as it seems they want something they can go on adventurous road trips with. Do you own a car? Yes, I have a little Honda hatchback.  It's pretty old and beat up at this point.  When I'm looking for a replacement maybe you can help me find something.",test_1006_3
I have a car. I work at a car dealership. I love Hondas. I like Five Finger Death Punch. I have to wear a uniform at work. I like Five Finger Death Punch. I have a job. I recently bought a new Honda. I bought tickets to Five Finger Death Punch. I do not work this weekend. I read mystery novels.,I just went to get gas and the handle to my car door fell off when I got home. I need a new car. Oh no! I usually love the Honda hatchbacks because they are so reliable! I know that you are interested in buying a new car soon. Let me know if you need help with that! I'm sure my dealership would have cars you would like.  I love the Honda hatchbacks! They are very reliable! The new honda is alot stronger and durable than the old oens I will have to come see you soon at the car lot then. I will wear my new Five Finger Death Punch shirt.  That would be awesome! If i didn't have a uniform at work I would wear mine all the time. I love them! That would be a great sales technique I would think.  I heard they will be coming to town soon. Are you going to get tickets? YUP!! I stayed up all night just to be able to buy them online the moment they went on sale.  I really hope to be going to the concert in my new car.   OMG!! That is so cool!  I'm sold!!! Do you work this weekend?   I actually have this weekend off! I can't wait to just sit and read one of my books. Have you even read any murder mystery novels?,test_1006_4
"I go on hikes. I have two dogs. I love spending time with all sorts of animals. I only have one dog. I studied in France and Spain. I studied in California. My father served in the navy. I would love to go to France. I love coffee and I enjoy finding new ways to brew it. I don't really drink coffee. I go running, hiking, and camping. I like burgers. I try to eat healthy and stay active. I really like burger and fries. I like having time for leisure. I was an only child.","I'm pretty well, how are you? Fine, just came back from hiking in the great outdoors. Awesome! Do you have any dogs? I have two. I have one dog, I like to spend time with all kind of animals, love them. Sweet! Where did you go to school? I studied in france and some in spain. France and spain, wow. I studied here in california. Nice! I only studied there because my father served in the navy. I would love to go to france, I love coffee and try new ways to brew. Nice, I'm not much of a coffee drinker. Do you like burgers? Sure, but I am trying to eat healthy now and go outside to run, hike, and camp. I like to have as much leisure activity as I can so I started going outdoors. That's a good idea. I grew up an only child, so outdoors would be a good idea.",test_101_1
I am a teacher. While I was in Europe I visited France and Spain and learned both their languages. I live in the United States. I studied in Paris and Madrid. I live in New York. My major was marketing. I studied at UCLA in California.,"My major was education, languages specifically. I wanted to learn French and Spanish while I was there so I could be a high school language teacher when I returned to the United States. Now I have been teaching for 15 years. I love it! I find it very rewarding. Yes, I did study in Paris. And in Spain I studied in Madrid. You mentioned that you studied in California. What did you study? Do you still live there? I did study at UCLA. I was a marketing major and moved to New York. I definitely prefer California but had a great opportunity in New York. Where in France would you recommend someone to go to see?",test_101_2
I'm an only child. I'm a HS teacher. I like my students. I went to UCLA. I like to travel. I will be going to Australia in 3 months. I have visited Eastern Europe. I write a blog. I live in the US on the east coast.,"They are a handful, but they are always making it exciting! Being an only child and now feeling like all of these high schoolers are my children is a big change of pace haha! Yes, they definitely out number me, but I'll be sad once they all leave. I've actually had a few students mention their top pick for university to be UCLA. Do you have any recommendations I could pass along to them? Recommendations in terms of courses that they could study, or in terms of something else? Everything! Class & application recommendations, best teachers, best places around campus? It won't take me too long and I could work on it over a week to give your students chance to think of any pressing questions. I haven't been anywhere new recently, but I have booked at trip to Australia for 3 months time, great barrier reef bound. I already have a list of my favourites that I collated for my blog. I could send you the link to it if you want?",test_101_3
"I have a blog. I've decided to visit Mexico next week for a month. I want to travel there a lot. I'll start on the west coast by the beaches. I have cousins. I have never been to Mexico. i write about different topics in my blog, like: food, lifestyle, coffee and travelling. I'll be running around Mexico for a month, then I'm back here on the east coast for two months, then I head to Australia. I will go nest week. , but I  have never been to Australia yet. I am travelling a lot.","I've decided to visit Mexico next week for a month. It will give me some good content for my blog. I can't wait!  I'm going to pack in as much as I can and will travel all over.  I'll start on the west coast by the beaches! I've never been myself but my cousins have and their pictures looked amazing. Make sure you bring extra chargers and memory cards so you have enough space. Is your blog about travel? Oh that's awesome advice, thanks!  Yes and no - I write about travel whenever I can, but there's also a lot about food, lifestyle, and of course coffee. I head out next week!  So I'll be running around Mexico for a month, then I'm back here on the east coast for two months, then I head to Australia!  This year is going to rock!  You've travelled a lot, have you made it to Australia yet?",test_101_4
I enjoy watching baseball. I make music. I sometimes cook lasagna. My job is driving a dump truck. I like my job. I paint for a living. I do not have a boss. I like to live within my finacial means. I enjoy fishing. My home region is New England. I like eating fish. I don't like to fish. I like fish stew.,"Hi there. How is your day? I'm relaxing watching baseball. I love lasagna! But I just paint dont do cooking. Good skill to have! I work as a dump truck driver and like my job. Thats great I dont want to have a boss thats why I paint. No, just my music and art, and living within my means. That is the good life. It reminds me of my favorite fishing spot. My homeland is new england but I will fish anywhere. What about you? I dont really like fish I just like to eat it! I like to eat stew fish or fish stew.",test_1010_1
I have a job. I am afraid I will get fired. I drive a dump truck. I flipped my dump truck up today. I have never had a problem at work before. I have worked at my job a couple of years. I do not want to work in sales. I don't know what other job I might like. I might like to work in construction. I am afraid I won't be able to get another job driving a vehicle. I am flustered. I am waiting to be called in by my boss.,"I was dumping too heavy of a load today and my truck did a full-on ""wheelie"" and stayed that way. Both its front tires were completely up in the air, and I had to wait for someone to bring a ladder so I could climb down out of the cab. I hope I don't get fired. Its been a couple years so that's part of the reason I don't get it. I did the same things I always do! I have no idea, the only thing I can think of is things I really don't like, like sales I really appreciate the positive attitude, this whole thing has me flustered and I'm just waiting for them to call me in",test_1010_2
